season_id,season_code,season_index,rank,player_name,player_tag,score,player_level,clan_name,clan_tag
103,2023-04,171,171,Aceサンジ,2C88PPJC9,2809,50,HELL’S LEGION,QJPC22GQ
103,2023-04,172,172,くろーず❤️ちぇる,PL8JJ9JRP,2809,50,change white,2G9CUJ29
103,2023-04,173,173,Napo,20JJ8YU09,2808,50,,
103,2023-04,174,174,Hairo カポーニ,QLC8VYV8V,2808,43,Veterans™️,GY2LPCQQ
103,2023-04,175,175,GladyatörGS,2L9LGVVQP,2808,50,CLUB ARMONİA,YYJLRVG
103,2023-04,176,176,sino,82UVCUR2R,2806,50,rola,QVCVLCP9
103,2023-04,177,177,>>Rigby<<,2Y98L8VLL,2803,48,,
103,2023-04,178,178,Muss,CCQLUVRJC,2803,43,抖音muss,QQQ2JYCU
103,2023-04,179,179,IcyRazorShark,2PP22GPL,2803,50,,
103,2023-04,180,180,だらけ隊,892RQ2LCU,2801,50,,
103,2023-04,181,181,BCN Lord Pablo,8LCY8GP,2800,50,Double Fût army,GYQPY8G2
103,2023-04,182,182,Violet❤️CYX,CR0JPUCR8,2800,42,,
103,2023-04,183,183,Anaban is God✨,P2RV0RGYG,2800,50,Snipe Academy⭐️,LVJJQYCP
103,2023-04,184,184,神│Venpers™☆,GU99JUJ,2799,50,Robert's Army™,9PV2VGVY
103,2023-04,185,185,Trainer Elefant,89YJ2VJU,2798,50,AllgäuElite,UYJR8C
103,2023-04,186,186,Alføn 上から ✨,CC8CUQV,2795,45,HOG EXE❤️,Q2GUVP2J
103,2023-04,187,187,✨BIEN SECKOS✨,P9Y9JPJJQ,2794,50,Dame de Trêfle,YGP9P2Y0
103,2023-04,188,188,bbb8,8YJY9802,2791,50,KZ12,PQY0V828
103,2023-04,189,189,Sky Hilande,20R0V922U,2790,50,GUERREIROS PT,L2U9PG98
103,2023-04,190,190,Fateme,LYRU92LQ,2789,50,PERSIAN ROYALE,JQYL8YQ
103,2023-04,191,191,おまるちゃんっ,2PG2RV0C,2786,50,Nova I Aryayi,9CCJ2R02
103,2023-04,192,192,CAL ☆Yamacyッ❤️A,2GL92P298,2785,50,River Plate 2.,9J222C8P
103,2023-04,193,193,Seb,PL9V8J0CV,2783,45,영웅,8Y08VVC
103,2023-04,194,194,Reaper,8CY9QJ98,2779,50,UNAUFHALTSAM,L0QPV
103,2023-04,195,195,wahib,2GYY9PCC,2778,50,Nova I arg,9LC2P9YV
103,2023-04,196,196,On FIRE Oh DEAR,2YCPJR8CQ,2777,50,Mavi 2,GJ9UCRR2
103,2023-04,197,197,CAL Tourist✨,C89L0002L,2777,43,BESF Cup,Q9G0YJR9
103,2023-04,198,198,kay,2Q80CVYYP,2776,50,ハナバーリキルク❤️,PY8UP2V0
103,2023-04,199,199,Nova I Mohammad,LYYRJ82U0,2776,50,Nova I Aryayi,9CCJ2R02
103,2023-04,200,200,ヒトシ,98GUPGY9,2775,50,,
103,2023-04,201,201,CMG SandBox,Y022GRCJQ,2775,50,硬中华,GUULU0UL
103,2023-04,202,202,麦わら| Youss™,G82VJ9LV,2772,50,Veterans Élite™,8YVV9YUR
103,2023-04,203,203,Nadir,2VYLGPPUV,2772,50,Veterans™️,GY2LPCQQ
103,2023-04,204,204,Will X,2UV9G0L80,2771,50,VAMOS,Q9YLGRLJ
103,2023-04,205,205,たくや,2829V8V0L,2758,50,馬の耳を見物,LCVU22VV
103,2023-04,206,206,TRB Wallace,YJPPGL00,2756,50,empire league,QRQURQU2
103,2023-04,207,207,stan f,RRJPU8Q8Q,2752,47,Dame de Trêfle,YGP9P2Y0
103,2023-04,208,208,Metron,PGV90CU8P,2751,50,헤어나올 수 없는 마력,2PGLPVLR
103,2023-04,209,209,Lawliet,GVPUJULPG,2750,48,GUERREIROS PT,L2U9PG98
103,2023-04,210,210,DoMiNoS,2PY0GLR9P,2749,50,Dame de Trêfle,YGP9P2Y0
103,2023-04,211,211,LDT NiCoLaS,JG0RVC992,2748,43,castrexos lugo,PG029R08
103,2023-04,212,212,小子丨ᴄʀᴀᴢʏ ʜᴜʟᴋ ✨,9G2P9PRLG,2748,50,SNK Shiganshina,QVR8LP0L
103,2023-04,213,213,Higher丨Kun,LR2RPGRRQ,2743,50,im back,LJ89P0VY
103,2023-04,214,214,rvelo,82GVCJ2C9,2743,50,Op Cycle,LLYCLYQY
103,2023-04,215,215,ＡＢＢＯＵＤ™,Q8VR900V9,2742,50,IRAQ LEGENDS,Y9GPRYYL
103,2023-04,216,216,40K Prestige,90GYPUCQV,2739,49,,
103,2023-04,217,217,♠️800 And God♠️,R2VPPV0P8,2739,50,! ShocK-13 !,P2P2Y880
103,2023-04,218,218,ChiefBoy,RCJ0Q90,2739,50,Veterans™️,GY2LPCQQ
103,2023-04,219,219,Elwist,LY2CL9VR,2739,48,TheImpactGaming,Q00G8VCG
103,2023-04,220,220,사슴,2R0JQ2UQV,2739,50,Veterans Élite™,8YVV9YUR
103,2023-04,221,221,hacker,9RLULLLP,2738,50,七つの大罪,Y9L0VYR2
103,2023-04,222,222,⚡JAKKO™⚡,L8CPC8VV8,2737,50,Xtreme Cats,QQRG9RRL
103,2023-04,223,223,FraNGøD™️,YVRRYJCY,2735,50,Fierce Force,QC8R0888
103,2023-04,224,224,TTM 大卫Rooney,GG8UC0CP,2735,50,QLASH,Q0C0VQPP
103,2023-04,225,225,Westbrook,CL2P0GQ9V,2734,45,Fierce Force,QC8R0888
103,2023-04,226,226,ZQuentino,RRLV0GQCV,2732,50,SNK Shiganshina,QVR8LP0L
103,2023-04,227,227,コンチック,9QULCJPL9,2731,50,,
103,2023-04,228,228,Vini™️,8CVJLP08,2731,50,LimiT eSports,9YJGVCPQ
103,2023-04,229,229,JaviLove♥️,8QJVY098,2729,47,Pekka❤️,L8VGCL99
103,2023-04,230,230,⚡Agustin⚡,U8Q9CGYU,2727,50,Boom Team,8QR9JQVJ
103,2023-04,231,231,Loony,C8LYV88QU,2727,50,疯人院,9QGQQGPU
103,2023-04,232,232,Patron✨️Arden,8JJ80J28,2724,50,Fierce Force,QC8R0888
103,2023-04,233,233,Bee,8Q29Y9PYG,2724,50,Fatherless,Q0CGYGUP
103,2023-04,234,234,小心 ｜ 垢ban,9JYYR9UU2,2723,50,ファーストクラス～空の旅～,LV0VYPY9
103,2023-04,235,235,実熊 瑠琉,GQJ2G9YVL,2722,50,no draw,GG2UGGUU
103,2023-04,236,236,ます,8V9QUVVCP,2722,50,ああ,QPP0PLJV
103,2023-04,237,237,Nėrf domiggツ,R2GV0Q9C,2722,50,nerf al minero,LQ82RJQ2
103,2023-04,238,238,しゅしゅ,GGU8829P,2719,50,,
103,2023-04,239,239,燮 Doflamin ッ,CUPGVQG0C,2719,44,Victoria Сикрет,QPP82YQ9
103,2023-04,240,240,LA✨Hugo CR v2,GVJLCYC,2718,50,,
103,2023-04,241,241,X-BowMaster,Y2C0RLR,2717,50,Aeon Esports,PPRYY2RC
103,2023-04,242,242,ケンちゃん,9VVC9ULLL,2717,50,九州 博多支部,2GYC9PL
103,2023-04,243,243,Bobtherock,PURLRYVJ2,2717,50,hog riders❤,GG0UYLP9
103,2023-04,244,244,DiaaBooom❄️,JYCGJUPR9,2714,47,NoA,Q9QPPGGG
103,2023-04,245,245,Lil❤️Freak,PPR0V8LY,2714,49,SandStorm Top™️,Y8JG8RGU
103,2023-04,246,246,ᴸᶛᶜ‖ Juancho™✨️,209CC2VL8,2713,50,liga de campeón,LL2VCR9G
103,2023-04,247,247,fgab,C9LL8LRJ9,2713,42,Fierce Force,QC8R0888
103,2023-04,248,248,Nogi I みすてぃ,R0GUYG0G,2712,50,Bloody Bride,GJQQLQ8
103,2023-04,249,249,⭐J U A N C H O⭐,JG2JJ88J2,2712,45,LegendsVE,QG2PGQGG
103,2023-04,250,250,Ria,909V98LV9,2709,50,Chaeyo,QV9GU9LL
103,2023-04,251,251,⚡NEW l Zito™×͜×,9JGL8PUCL,2708,50,CAMPEÃO REAL,PY2J090Y
103,2023-04,252,252,BLAZE_THE_LEGEN,GLYRUQU2,2708,50,Mexico V3,2YCQJR
103,2023-04,253,253,FS | kikestar,2Q2U9LQY,2707,50,Mystic Esports™,Q8QCUC9Y
103,2023-04,254,254,Jorginho_09™️,29CY9VUV,2706,50,! ShocK-13 !,P2P2Y880
103,2023-04,255,255,⚡TKD I K-leb⚡,8VYGUPL8Y,2705,50,TKD⚡Perú,Q2L2RRUL
103,2023-04,256,256,まいなー,29JUCCY9R,2703,50,Euphoria,LCCV2RL8
103,2023-04,257,257,❤️DL-COKE❤️,29PRY29L8,2703,50,ELITE AZTECA MX,YQULLPC9
103,2023-04,258,258,feat.とっちゃん,20U8CYP2,2703,44,Nova I Aryayi,9CCJ2R02
103,2023-04,259,259,CAL Sub ™,U890Q9UQ,2703,50,,
103,2023-04,260,260,Noob JP,QYPPYRGPG,2702,43,Eternal Legend,PPUCRGQC
103,2023-04,261,261,じょん,PGRG9Q9L9,2702,50,ミラクルにゃんこ,PY8G92VC
103,2023-04,262,262,a7med❤️⚡cycle,8VR8RVQJ,2701,50,peace,QUJCUQ9U
103,2023-04,263,263,⭐️清歌;CC⭐️,2UJCYVJVL,2700,50,Nova I Aryayi,9CCJ2R02
103,2023-04,264,264,kaza,RJJ822P0V,2700,45,僕のヒーローアカデミア,2V80C0UG
103,2023-04,265,265,ALHebsi,9UCURJJ,2700,50,SandStorm Top™️,Y8JG8RGU
103,2023-04,266,266,John77,2GCL89QGP,2696,50,,
103,2023-04,267,267,Boon,9YQUUGUCG,2695,50,,
103,2023-04,268,268,Hmble Keef,2ULGRJQJY,2695,50,,
103,2023-04,269,269,すた,PQR8UJ2U,2694,50,May Queen＋nyan²,L0YGVQJ0
103,2023-04,270,270,서북이,28PCG8QPG,2692,50,Nice Strategy,VQCQQJP
103,2023-04,271,271,ヤギ｜ᴅᴀʀᴋ,9JL2YQ2RV,2692,50,QLASH,Q0C0VQPP
103,2023-04,272,272,Joaozinhopan,GYR89C0JU,2690,43,GUERREIROS PT,L2U9PG98
103,2023-04,273,273,destroyer-nl,8UP90U292,2689,50,Pluizers,LLU8R820
103,2023-04,274,274,ОпА$нЫй_ВоЗрА$т,P9PJ2LGYL,2686,50,Sunrise,YRP22G0V
103,2023-04,275,275,✓dιεgσαямαиd10™,R29RYPURG,2682,46,,
103,2023-04,276,276,Kaneki,RQ02UGV99,2681,50,✨Home of Tryaz✨,GQGULJUG
103,2023-04,277,277,Franco™,2LJ9YL2L,2680,50,Arizona,28UCU8V
103,2023-04,278,278,最強lはな,9UGG90CR9,2680,50,The Golden Wing,QRGR0CQ9
103,2023-04,279,279,悟风车之道,C8L00RJGY,2679,50,no watch,GG8R0Y22
103,2023-04,280,280,☆AGD│CHUCHIN☆ツ,22QPUQQ,2678,50,ELITE AZTECA MX,YQULLPC9
103,2023-04,281,281,~●✨Andy✨●~,9RRLLJ98R,2675,50,Team Chile,200PJPR
103,2023-04,282,282,DANIEL,QLCRP009,2673,49,,
