type,season,rank,score,name,tag
m2,2,431,2520,すずかもね？,JPCRVGLY
m2,2,432,2519,Manaティ,88JPVLR09
m2,2,433,2519,フェリペ⭐KHAOS,RUPCCQPVV
m2,2,434,2519,みつみ,J8J28QUG2
m2,2,435,2519,Omar ♠︎,VJV8URQJ2
m2,2,436,2519,mahmoud,GG9CRQQVP
m2,2,437,2519,Emiliano Amato,92PVUCR
m2,2,438,2518,Mediator,RQCVJ0GU2
m2,2,439,2518,SeaM ryzee,LJ2GJLQC9
m2,2,440,2518,Ring of Smile,LVUYJQ0JU
m2,2,441,2517,swweii1407,CU999QGQJ
m2,2,442,2517,CHAEYOUNG사랑해,VLVV0PQY2
m2,2,443,2517,Courtz✨조화,J00VRCG8J
m2,2,444,2517,SwN |̶Alexander,90G028UQU
m2,2,445,2517,Angeluxy,8PLCG8YP8
m2,2,446,2516,⚡CD✨David⚡,208YLQ20J0
m2,2,447,2516,Hyrax ⤳ 8,V09YV0VPG
m2,2,448,2516,Luigi,P8RVL2988
m2,2,449,2516,Dumbstruck❄️,UC9R228JP
m2,2,450,2515,Owl❤️いかプリプリ,LGV20JCLC
m2,2,451,2515,omar,PC2RUYYYQ
m2,2,452,2515,ESTEBAN,U9G2YGVUC
m2,2,453,2515,ケシカスニキ,U0G0G9JVV
m2,2,454,2515,LUIZ CLASH™,U2QCGCGJV
m2,2,455,2514,yutq8_,2Y2GQ8LP
m2,2,456,2514,INA.SIR DEVANO,VCG0L2PJ8
m2,2,457,2514,Sayan R.I.P,PQL9PY80Y
m2,2,458,2514,TT:Jordon❤️BM™️,RVULGCQ9
m2,2,459,2514,ONDER ︻芫═─╾━ ⊹,2UJR0999P
m2,2,460,2514,樺音,RY2LQC89Q
m2,2,461,2514,Maxi,RV8QUUYC
m2,2,462,2514,もも,VGJY8Y2UU
m2,2,463,2514,mD RaKIB,20V82UQ00
m2,2,464,2514,Jusenak✨KUN,CCVJ2LCVR
m2,2,465,2514,German Maestro,2LC2JRY0
m2,2,466,2513,용암광전사,V0UYPUVG
m2,2,467,2513,✨X-MEN✨,8LRJ0GG8Q
m2,2,468,2513,MAJED,J9PPYQCR
m2,2,469,2513,Dorian,88YY22Q2
m2,2,470,2512,KamisatoAyaka,VPLCYP22J
m2,2,471,2512,MG Julián jr,LPCQUQ88
m2,2,472,2512,yeye7ff,PY0VPG8V0
m2,2,473,2512,그냥,8QPQYLY
m2,2,474,2512,Orion,2LR2VCG2U
m2,2,475,2512,SSS,YL2YP2PY
m2,2,476,2512,Pelícano,89G8L8LQ2
m2,2,477,2511,SASUKEが,GQCJ88PJL
m2,2,478,2511,出泥egg,YRU2PC0GV
m2,2,479,2511,GL7✨神,8L2CLQY0U
m2,2,480,2511,繁星｜Spam Master,2UJLC90QJ
m2,2,481,2511,hohosan( • ̀ω•́,UUG8C0CPP
m2,2,482,2511,已紫纱,ULUGCG0CJ
m2,2,483,2511,WEN,CYVPJJQCC
m2,2,484,2511,伝説 l ROSIER,9R8LCPG28
m2,2,485,2510,Rian,8G8CVU0V
m2,2,486,2510,TEF丨曙光❤️白熊,CRG9RQJVY
m2,2,487,2510,Hyrax YT ☠️,JVYU0L9PY
m2,2,488,2510,竜田揚げグリッター,PLV8Y8909
m2,2,489,2510,iota,RCPYPLULV
m2,2,490,2509,Joyful高崎市,VYUPYLVCY
m2,2,491,2509,海野明理,20YY99LP9C
m2,2,492,2509,祈る者,UV8UPYUY
m2,2,493,2509,discord/@roeizz,GP9Y9QPV2
m2,2,494,2509,成瀬,LLV8UYUJC
m2,2,495,2509,GökdeniZ,2YG0LUGG2
m2,2,496,2508,Alex,GJG9R8RP
m2,2,497,2508,おてぃまるʕ•̫͡•ʔ,LRCQJ9P2
